uuid,x_name,parent_uuid,variant_notice,variant_warning,dh0_sha1,cpu,chipset,chip_memory,fast_memory,kickstart,viewport,variant_viewport,video_standard,pause_key,joystick_port_1_mode
f6a8717d-0e3c-5825-a8af-f0e3d808f5b4,"1000Miglia (Amiga, WHDLoad, v1.2)",a03ab8b5-88dd-5020-a49c-6641f53904d6,,,111eed2bc5c2f403dd986056ed0dbc0a8944ebb4,,,,8192,2.0+,,,,,
a83a41e4-8ffe-5a52-8e87-8e1f8cfca8a0,"1000ccTurbo (Amiga, WHDLoad, v1.0)",d692a48b-6c62-5292-9173-bd2c52dce2a3,,,c2fe5d07d19286ce963d0fa9ca3d26b45c317a17,,,,8192,2.0+,,,,,
a199bd5e-4933-593d-b9e1-955339c4a151,"1869 (Amiga, WHDLoad, v1.2)",146c7d69-79ed-5a8c-af26-b117cd9a4edd,,,1f3b31e58758446eccf1f1fa44166c603e3afc97,,,,8192,2.0+,,,,,
d2152856-6923-5caa-a051-a7dec3ad6ade,"1869 (Amiga, WHDLoad, v1.2, AGA)",f9c0dd77-61af-51cc-a239-c34302433469,,,1de5a4625bd475418219eaff4573f67a656fe671,,AGA,,8192,2.0+,,,,,
f6313440-2008-59b3-857e-1a844c67df93,"1869 (Amiga, WHDLoad, v1.2, De, 0417)",146c7d69-79ed-5a8c-af26-b117cd9a4edd,,,82df9ae1c9b81a5a385531c41d19aba0660731ce,,,,8192,2.0+,,,,,
9754d35e-0f6f-5779-8d70-73bb3257a4b6,"1869 (Amiga, WHDLoad, v1.2, De, AGA, 1653)",f9c0dd77-61af-51cc-a239-c34302433469,,,244f15131dd234fff7e181bfad4dd93a573c2ba1,,AGA,,8192,2.0+,,,,,
a9c071f5-5a39-55b3-8f9c-ca8c03356d0d,"1869 (Amiga, WHDLoad, v1.2, Pl)",146c7d69-79ed-5a8c-af26-b117cd9a4edd,,,6dd49c3b3d94113dd9805f33972ee5cca8590d9c,,,,8192,2.0+,,,,,
c7987b27-936b-54a3-b2be-3b95ea143a1e,"1943 (Amiga, WHDLoad, v1.2)",6e511a62-65ea-58b3-86ab-a8f6fa64c387,,,484f2da449cdd89ccacdf92d5aa9ee00da082155,,,,8192,2.0+,,,,,
313b4bf1-ab65-56bf-9db4-1da3af98683a,"1943 (Amiga, WHDLoad, v1.3)",6e511a62-65ea-58b3-86ab-a8f6fa64c387,,,1aa64c401e939d312ecc5d3f32229e05db90c706,,,,8192,2.0+,,,,,
362a5487-3d26-5615-8319-e47f7c5142ff,"1stDivisionManager (Amiga, WHDLoad, v1.0, 1800)",23bafc43-e8dd-5d7d-bcef-a8f5e96d78d2,,,8878daf8521ee876400da948115872d3f64c34a9,,,,8192,2.0+,,,,,
121a4a2a-3e74-5b8c-be14-ddbb246edcf7,"20000LeaguesUnderTheSea (Amiga, WHDLoad, v0.4)",53ae3a36-2392-5829-8fd4-d950ea900f88,"Always choose ""WHITE"" at the Copy Protection screen, otherwise the game just crash",,e2599ca29d32ce761f38ad6ea9ba2267604b0a8b,,,,8192,2.0+,,,,,
2438107b-f384-5e16-894d-11e161ec1a9f,"3001OConnorsFight (Amiga, WHDLoad, v1.0)",1e0a7396-d4c8-583c-b912-03d28725ac85,,,9046bdd99c51e9a4af1c445b9b7cbc8b495abac6,,,,8192,2.0+,,,,,
14960d00-d1ef-5ea2-9b4d-804de5ffd138,"3DConstructionKit (Amiga, WHDLoad, v1.0, 1765)",8eb436f2-e789-504e-ac8f-ce2b98b90d2d,,,4bb5ae79dc4829b8ccc8e7ae9e21595bf8b65099,,,,8192,2.0+,,,,,
8058ab69-a1b2-5edf-8861-3cec4e193813,"3DGalax (Amiga, WHDLoad, v1.0, 1085)",6bb45b23-bab5-57b0-ae95-ea8cf5a5a439,,,771df79d6d1a1667e5a375b546f139e5b446ec2b,,,,8192,2.0+,,,,,
b766e889-7ade-5b0e-a01d-3382c2208064,"3DPool (Amiga, WHDLoad, v1.2, 0621)",4304da7c-e70c-5504-bc62-6f1e24566956,,,0528a0d4bd7461305f09033392bcb7e1ac23aebf,,,,8192,2.0+,,,,,
4c8dfd7a-0057-58e6-884b-c087b097de4c,"3DWorldSoccer (Amiga, WHDLoad, v1.0)",475101fe-2966-549c-8f52-be59191cd9ef,,,a103cc77c9c521dd7b9f881ad82d1db7db6725ba,,,,8192,2.0+,,,,,
ef187cd4-7008-5fa9-9561-e6e1720261ed,"3DWorldTennis (Amiga, WHDLoad, v1.0, 2224)",9828763b-8220-5a3a-a988-8753ff6cfc9e,,,c499b6e2fe14d8a873e54a0a366e5a87d9a41e99,,,,8192,2.0+,,,,,
40a461c9-4626-578f-b0eb-c6e7b440640b,"4DSportsBoxing (Amiga, WHDLoad, v1.1, 0421)",c9fe11fb-d2de-534f-9bfb-c20544f985c0,,,574b59bd1c82e8060743a6cb624954c9b603d696,,,,8192,2.0+,,,,,
16fec185-dde0-5e38-8a05-212165fab914,"4DSportsBoxing (Amiga, WHDLoad, v1.2, 0421)",c9fe11fb-d2de-534f-9bfb-c20544f985c0,,,5cbecc24fec2e5afcfd9e4d2f487a0da51bab333,,,,8192,2.0+,,,,,
d3045a00-9c99-5e8d-ae5f-3001c1f0e433,"4DSportsDriving (Amiga, WHDLoad, v1.0, 1461)",089e1a14-ea97-533c-babf-b55b54946d27,,,5bdc75a7a13c505f6eb4ec878ce5732537cb9aee,,,,8192,2.0+,,,,,
82eed669-75e3-5e56-a2b8-de70c113beb6,"4DSportsDriving&MasterTracks (Amiga, WHDLoad, v1.0, 1461)",d3045a00-9c99-5e8d-ae5f-3001c1f0e433,,,2a046db8d8ddf17c076765c3464ce5cad6f8579f,,,,8192,2.0+,,,,,
e6a01543-4456-5059-a8aa-568312438c18,"4DSportsDriving&MasterTracks (Amiga, WHDLoad, v1.0, 1461)",d3045a00-9c99-5e8d-ae5f-3001c1f0e433,,,3d2fa9ae4db2a335b4688f58eb40227b7e3769e8,,,,8192,2.0+,,,,,
bb9af357-0353-5e0a-9c9e-859f9995c8d0,"4th&Inches (Amiga, WHDLoad, v1.0, 1230)",e796266e-8c1b-5764-a2b8-cddf54efbe70,There is a newer WHDLoad install available.,,6f860d82d1e68b6f4469f2682b4f24ac8afd9d74,,,,8192,2.0+,,,,,
82737163-ce4e-531f-a5c7-d85e1af50338,"4th&Inches (Amiga, WHDLoad, v1.1, 1230)",e796266e-8c1b-5764-a2b8-cddf54efbe70,,,2c5335a9c28b0306a2e8853886e19a0c64bdf8e0,,,,8192,2.0+,,,,,
f9a65e4b-c298-582f-af72-024750958652,"4x4OffRoadRacing (Amiga, WHDLoad, v1.00, 1480)",7c88d9f2-920f-5cca-ba1b-a31af5681aa6,,,2747e0173ae1351d7c1d0dea11636a53d25bd6f1,,,,8192,2.0+,,,,,
bc37a430-6e7a-5238-ba27-80cc5517499d,"5thGear (Amiga, WHDLoad, v1.0, 1001)",03297dc4-53e4-5676-a70a-51a2a85bdadb,,,c9f8a7b45aef901acedfb8935a504dc6a0134c1b,,,,8192,2.0+,,,,,
