uuid,game_name,__link_name
dbb54cd7-7354-504f-a6d7-4f31d0921128,Shadow of the Beast III,shadow-of-the-beast-iii
35a64556-9f75-5d23-b482-cc8cbf800690,Simon the Sorcerer,simon-the-sorcerer
fe5e2e16-f5ae-5292-a663-7a695f76ee94,Fantastic Dizzy [AGA],fantastic-dizzy-aga
f3688640-3e36-5bdc-aa1c-a34035abdbc0,Magicland Dizzy,magicland-dizzy
e7e1b17a-63e2-57b6-bac3-0b66f81f26d7,Stunt Track Racer,stunt-track-racer
6449957e-341a-5b3a-93d2-ab11c040b6df,Barbarian,barbarian
c5ff8a3e-478b-528b-9596-00cc1aa8832c,Captain Planet and the Planeteers,captain-platnet-and-the-planeteers
c36ad375-e60f-5890-b419-7a42c6fc91b3,DreamWeb,dreamweb
16778914-02d0-53e8-9f87-fc73ceef6857,DreamWeb [AGA],dreamweb-aga
1b2517b2-db45-521a-b35a-c2a6a5a10744,Dyna Blaster,dyna-blaster
b0f7e2dc-25b6-5ac6-8d38-f8ea772db5a7,Battle Command,battle-command
f2896976-360c-5989-af27-3c4abeea44b9,Gee Bee Air Rally,gee-bee-air-rally
565362d8-5c2c-53f8-a95e-99025ca0821b,CJ's Elephant Antics,cjs-elephant-antics
18416bcf-5385-5863-9f2e-8b099481e070,Ambermoon,ambermoon
63c19286-483a-58db-a10e-7f7ac5afe89c,Ugh!,ugh
9f303c71-11fa-5ec3-8f4f-b0a6da188cde,Gold of the Americas,gold-of-the-americas
b4e023c6-1c24-5f7e-9d9a-a1b1649ff8ff,Zero Gravity [Hollemans],zero-gravity-hollemans
654dc123-25ea-577e-86b0-eae53ce65699,X-Swap: Booming Edition,x-swap-booming-edition
bc96b654-f113-5807-8ad8-801b733c7daa,Corruption,corruption
5871b6a2-a960-5ced-805a-8d2e3005dced,Knight Orc,knight-orc
d955fcc0-5e64-5cac-9796-3b7ce203c38d,The Pawn,the-pawn
1d29cf13-6ba6-51d4-83bc-775dbd3ca283,Leather Goddesses of Phobos,leather-goddesses-of-phobos
3f6f63c8-c757-5c1b-b5b4-30fce0a7b45f,The Hitchhiker's Guide to the Galaxy,the-hitchhikers-guide-to-the-galaxy
eeb531a0-2e84-5395-b657-f254ae9f0f2e,Airborne Ranger,airborne-ranger
0917598c-3ed6-529d-9b6c-e06432e7b4f9,Deadline,deadline
fd7858af-874c-5dc6-9161-5436e481f7ed,Wishbringer,wishbringer
1ac381ed-b307-51b6-b3d9-2a9f6ffa453d,Ballyhoo,ballyhoo
1ee8b283-dd00-54dd-8720-a171663d56c7,Apache,apache
9cde39a9-b9e8-5473-b429-09a075b9fe0d,Spike In Transylvania,spike-in-transylvania
9555b434-d53d-58f1-8ae2-0e6a054da0d5,Border Zone,border-zone
9d699a5b-b09a-51a4-8f6f-bb0498eb4de3,Bureaucracy,bureaucracy
2809d4d9-1369-5b50-9a11-f66d1703e231,Gnome Ranger,gnome-ranger
ebe1a7b4-e16d-5a4d-9d8a-28847fcf957b,Nord and Bert Couldn't Make Head or Tail of It,nord-and-bert-couldnt-make-head-or-tail-of-it
8a1dd72a-81eb-56a0-9813-cd32b2630671,The Bard's Tale III: Thief of Fate,the-bards-tale-iii-thief-of-fate
ed530da2-ae3f-5b1c-981a-c589a544865c,Brat,brat
5e028441-a75b-5108-bc7d-be01273c4c9d,Pang,pang
ab883f4a-1831-5fad-b26d-79bffe65579f,Batman Returns,batman-returns
b0447ca0-a1d3-5f86-8b37-ca24ea11ffc3,Batman: The Caped Crusader,batman-the-caped-crusader
9fdbf3a4-56a4-554c-999a-d82cce313709,Cool Croc Twins,cool-croc-twins
d6ba8d7a-2cbb-5482-a636-9a797331cfcf,Dynamite Düx,dynamite-dux
000aa4ce-2b15-5c89-a5a2-1278bc38be28,Indiana Jones and the Temple of Doom,indiana-jones-and-the-temple-of-doom
6c7b2eea-69d7-5d03-8db2-38bcbe5d8bb2,Hollywood Poker Pro,hollywood-poker-pro
07bb71f2-2483-5af9-b400-978b8acffac7,Heimdall 2: Into the Hall of Worlds [AGA],heimdall-2-into-the-hall-of-worlds-aga
37afb39f-3601-58dd-b2c9-f3d116d70c03,Twintris,twintris
82652e62-f10e-58a4-98b4-ec87b8debe05,Holiday Maker,holiday-maker
16dd70a9-baea-5aef-9869-9e5c63a70916,D/Generation [AGA],dgeneration-aga
e3fc49dc-0470-535c-8e11-df8e14621adc,Pizza Connection,pizza-connection
2952d611-201a-51d7-bbdb-74f030b48754,Bubble Dizzy,bubble-dizzy
a9fe30d1-56e1-5e9b-9389-a4d1499d89b0,Hanse,hanse
ef08e66c-5d87-52f9-b599-f610690d31b6,Hanse: Die Expedition [AGA],hanse-die-expedition-aga
2b9d7527-6fc6-5664-b6d0-1b374f710d7f,Archon,archon
9cc89217-5811-59e7-9307-5495be144092,Biplane Duel,biplane-duel
f47d2728-fc9f-57ea-9bff-5d76ae73bd39,Insanity Fight,insanity-fight
182fa53b-267a-5481-bca7-50d607075411,Plutos,plutos
a7f2d455-1c20-51f7-8d23-6b56998a1143,Crazy Seasons,crazy-seasons
657e7ec7-ee0e-57bf-b06c-ebb8dd994e57,Cattivik,cattivik
bb711212-9da8-5998-8c28-3f246f1ca70b,Spy vs. Spy 2 - The Island Caper,spy-vs-spy-2-the-island-caper
28f540b3-f3a8-5340-bd20-fe2ed22d140c,Super Skweek,super-skweek
80fec74a-8ffd-5219-adba-35f732c01453,Pinball Magic,pinball-magic
0bdf62eb-6d4e-5dc6-9e1a-160c61dc81a2,Cadaver: The Last Supper,cadaver-the-last-supper
129664e5-cb07-5d78-9898-b1a1fc0f9f24,'Allo 'Allo! Cartoon Fun!,allo-allo-cartoon-fun
abba20c8-d3e0-55b2-aad2-b7ce1b465296,Sly Spy: Secret Agent,sly-spy-secret-agent
6da00869-ad03-541f-a29c-b324ae653802,Vermeer,vermeer
76ffcbc5-d0e2-55f7-bd06-04d12ecce178,Shadow Fighter [AGA],shadow-fighter-aga
a2fb3d6b-1ca6-52b5-8e72-e1d9a7796c30,Pinball Wizard,pinball-wizard
72ce98cd-0b26-575a-af1e-a3a27f588887,Enchanted Land,enchanted-land
b1d01df8-fedf-5ca3-ac30-92672f5ad943,Oldtimer,oldtimer
e46ae82b-b86c-5bf0-9e5f-21963079fcd4,L'Art de la Guerre,lart-de-la-guerre
82edfaae-538e-550e-ae20-ab26788eab86,Chicago 90,chicago-90
5c1db300-f6af-528d-bb00-6d07041710de,Vikings: Fields of Conquest,vikings-fields-of-conquest
9484786e-5c75-51ad-8b9d-9f255befb39e,Pengo,pengo
44812fda-e801-516f-af7a-da77422e2f5e,Ninja Rabbits,ninja-rabbits
2e3d28b9-1931-5c06-87a7-0be7de7fcfa2,Little Puff In Dragonland,
24dacc85-2e48-56ef-8c7c-276dd7b105bc,Beyond the Ice Palace,beyond-the-ice-palace
3fe2b5ce-d594-5c08-b57d-e5fd9728d198,Gnome,gnome
017a3eef-b300-514e-a33d-20e04412be24,Guardian,guardian
5fbf8934-bb51-5839-9400-8060e3a1aa9c,Assimilation: Caffeine 2,assimilation-caffeine-2
1c7f7ac7-899b-5957-8586-4aff05ca0d50,Tearaway Thomas,tearaway-thomas
d73e9603-658b-5e35-a0c4-6b9a86b28297,Flying Shark,flying-shark
2e472920-2b8a-5d32-8793-e25ef20b8a79,Gulp!,gulp
0d6fdee0-94e2-52fb-904f-4bf42bfe5ce1,Anarchy,anarchy
c8303771-0ff3-5dec-a867-1e63d3d55fc9,Austerlitz [Cornerstone],austerlitz-cornerstone
e33eb7e3-656a-48a8-9834-967865c460e4,Wank Games,wank-games
ce61659f-8b22-5fc4-8e15-b585a089c335,Pushover,pushover
d9502cb5-f05d-5a81-a727-5ae2cf908304,Buggy Boy,buggy-boy
839ddfbf-bbf0-51c4-9454-4c43c5639589,Cover Girl Strip Poker,cover-girl-strip-poker
8d29dddf-594b-5801-ab33-3dcffb8c6719,HeroQuest: Return of the Witch Lord,heroquest-return-of-the-witch-lord
9b4be444-bcd1-5c9a-939b-3c4fef69751c,Teenage Mutant Hero Turtles,teenage-mutant-hero-turtles
8cf88f49-6a67-5d1e-9826-dd5592ea406c,Crystal Kingdom Dizzy,crystal-kingdom-dizzy
3fde1712-24e4-57fc-98fa-f6994e5c643c,Back to the Future - Part II,back-to-the-future-part-ii
de543531-53cf-5ad6-824d-065d2ed19a1a,Batman: The Movie,batman-the-movie
bac6aff6-c6bd-5126-8a21-2f99f2f106dd,Gauntlet III: The Final Quest,gauntlet-iii-the-final-quest
65a26fae-0ca5-58fc-bba5-9c7afc9bbaf0,Black Tiger,black-tiger
02a53cbc-5a76-5422-b9ac-80ebbcc31d6e,Treasure Trap,treasure-trap
e5f2a58f-56ca-5c94-9a33-cb14d7b3c745,Chip's Challenge,chips-challenge
a6c7ba60-4beb-5ea0-b1ec-97694ea5652f,Nicky Boom,nicky-boom
1237c4d0-d28f-5c03-b3e4-bda3a92eb1de,International Karate +,international-karate-plus
1120b515-62ac-5a9d-9884-c89082c1663b,Oil Imperium,oil-imperium
e09edbb8-a512-5524-a502-49ccb288e7dd,Prehistorik,prehistorik
cda88815-135b-5d6e-8ae6-c29b6d40cb49,Asgard Met Vikings,asgard-met-vikings
7d71bd46-15a4-5aad-ba1c-3de1d94aa16b,Sim City 2000,sim-city-2000
074ed7b0-10f8-5eba-be3a-f3a32f2d34d9,Ingrid's Back!,ingrids-back
71b5039a-ba6b-56be-ac71-afc20527c81f,Fantasy World Dizzy,fantasy-world-dizzy
28bbb38e-8eb1-5b90-bb6e-1e079ed81e03,A-10 Tank Killer,a-10-tank-killer
921a1c80-5c3c-50be-9d54-04627b891d44,Software Manager,software-manager
71676fa2-3cc5-4564-a7d0-9de3c41ec490,La Storia Ancestrale 2,la-storia-ancestrale-2
238bd776-ce37-4c5a-80c0-d5cab01dbd89,La Storia Ancestrale 4,la-storia-ancestrale-4
c283bb55-aaf8-4990-8265-c9d27e598e3c,La Storia Ancestrale 3,la-storia-ancestrale-3
bfbf4395-db4e-4532-badb-f86a05becbab,La Storia Ancestrale,la-storia-ancestrale
dd6a826f-7106-55d3-9503-435bdb6a2e9c,Pinball Fantasies [AGA],pinball-fantasies-aga
6fae69e5-1fa6-5713-afb0-83de527791d2,The Black Cauldron,the-black-cauldron
369cc5e0-2f77-5350-b6cf-c94d2b46e7a7,Strider,strider
43f0340a-d012-55ed-afd0-c0a6b5b25373,Spy vs. Spy,spy-vs-spy
87b183d3-f59b-549b-9972-3ba1a3f0991d,Monty Python's Flying Circus,monty-pythons-flying-circus
ac33f3f3-1ac7-580b-81c8-ba849e1dea09,Arachnophobia,arachnophobia
fc44df6c-0b36-50b2-8365-7d2501d6db75,James Pond: Underwater Agent,james-pond-underwater-agent
e306da7d-51d9-5bac-a535-e3a3e00c895b,Pinball Illusions,pinball-illusions
29cf711f-51ed-5766-b5df-edf710b2c4bb,Rainbow Islands,rainbow-islands
f9c0dd77-61af-51cc-a239-c34302433469,1869 [AGA],1869-aga
d692a48b-6c62-5292-9173-bd2c52dce2a3,1000cc Turbo,1000cc-turbo
ecf6b554-2580-505b-9585-50115cc8db9f,Apprentice,apprentice
461aa01f-5485-5c22-845c-87c9eeddd1ad,Bad Cat,bad-cat
69c50d71-563c-5ebd-998b-8f24fe6000ea,Backgammon [Magic Soft],backgammon-magic-soft
515e4f0b-7c8a-570b-a439-5ee65ef54cd2,Balance of Power: Geopolitics in the Nuclear Age,
609c31e6-17ab-57e6-9159-a1c47a2f08bf,Black Crypt,black-crypt
e930ab64-15ef-5743-a42b-6253f6d00e9d,"BIING! - Sex, Intrigen und Skalpelle [AGA]",biing-sex-intrigen-und-skalpelle-aga
612d25d7-175e-526e-926f-2be6d818b625,Bio Challenge,bio-challenge
8ff0445b-7981-5d98-85b7-a8cb1cfd6e78,Biker Babe From Barbados,biker-babe-from-barbados
f44e7280-5068-5052-9399-7cd28e0baa46,Bit in the Magic Castle,bit-in-the-magic-castle
3286e739-2685-507a-8a67-dc6a6ddb31dd,The Big Red Adventure,the-big-red-adventure
c871cd42-6e12-574f-b553-44b10e06ae2c,Beastlord,beastlord
36bafc16-acf6-5f7d-bfcd-c58977acd2b9,Big Nose the Caveman,big-nose-the-caveman
2b600b2d-ad15-5035-8b64-dc78e001a7db,Pandora,pandora
5f1a0848-3af3-5280-9a30-be74556cb44c,Bundesliga Manager,bundesliga-manager
af13b4ed-225a-5fab-a4c8-6490144dc06b,Bunny Bricks,bunny-bricks
c269f9a8-e060-544c-8130-121728cc8e4e,Bubble and Squeak [AGA],bubble-and-squeak-aga
48c01e2a-2d7b-5c25-bb1b-4d33b5b563de,Bubble and Squeak,bubble-and-squeak
62efcae1-aefc-571f-b8a7-e74d02553a5a,Brutal: Paws Of Fury,brutal-paws-of-fury
f498c9af-a586-5a00-b087-a2cfe14941d3,The Brainies,the-brainies
60535736-17bf-5fa3-adcc-bbd99559e316,Bombuzal,bombuzal
6e445257-234e-5308-9ad3-54f980d5c79e,Body Blows Galactic [AGA],body-blows-galactic-aga
befbd022-fd8f-5235-8ddd-1a1459bd83d6,Body Blows [AGA],body-blows-aga
d9e1e54c-a3b6-50dc-9b39-c4348da2a72c,Blue Boy,blue-boy
59a53f49-f8d9-53a7-92df-56ff2c06b4d7,Bloodwych,bloodwych
222d86c2-d347-574d-b2f6-0dbbfdc518d1,Blue Angel 69,blue-angel-69
c73dafaf-8977-5013-9bcc-7bbc3fb40e2a,BloodNet [AGA],bloodnet-aga
e27fe309-7d26-5a2b-ade2-ca62af06ee09,BloodNet,bloodnet
25be2dde-7b30-5a4d-9102-de3d55641d51,Monkey Island 2: LeChuck's Revenge,monkey-island-2-lechucks-revenge
486a9ade-a383-5cc9-97e0-b314ba5b6722,The Secret of Monkey Island,the-secret-of-monkey-island
db362b80-f7c2-5e35-9251-c709deb60f5b,Cloud Kingdoms,cloud-kingdoms
d41a732c-2b00-54db-bc69-c789a63457a5,Der Clou! [AGA],der-clou-aga
b2a0bfb9-5350-5107-ae7d-4019e22e37bc,Clockwiser [AGA],clockwiser-aga
d6d4b145-34a7-56ef-b474-f83f14ed33d8,Clik Clak,clik-clak
e202e12c-a8bf-559d-a19b-6e136d137dcd,Clockwiser,clockwiser
8449acf2-b781-5316-8cdb-1a73d2b1dff6,Civilization [AGA],civilization-aga
d1960899-1df6-5561-9672-903f0f3da270,CJ in the USA,cj-in-the-usa
d14bc310-9421-5882-b749-b9e2ad6d4785,City Defence,city-defence
ac66a526-bce4-5485-9bb7-5ac1ed4502ce,Chuckie Egg II,chuckie-egg-ii
c2c34cc3-b89d-501c-9dea-fcc78a3e7119,Circus Games,circus-games
1f45bb77-a756-5d22-8c48-873bf925eeb1,Circus Attractions,circus-attractions
e3d6e9b8-049d-558d-bac2-ce7ef335b840,Chrono Quest,chrono-quest
d5a693df-7995-53b5-a76b-3d230a9678f1,Castle Master II: The Crypt,castle-master-ii-the-crypt
11fca760-e7bb-5c4e-b61c-12f987bedb9b,CarVup,carvup
e7c64803-31da-5272-af88-7b9f5ba7c70c,Castle Kingdoms,castle-kingdoms
44f835df-7376-5d97-847e-4b7d0b4af351,Carcharodon: White Sharks,carcharodon-white-sharks
5f4efa13-0dde-58d3-a0ae-22bd6eb90f5d,Capital Punishment,capital-punishment
4b76cff0-c97d-5090-8cf5-15034a3b63dd,Cannon Soccer,cannon-soccer
5ad7a565-c3c4-5dcb-b75a-1483fdbca211,Magic Pockets,magic-pockets
